vote_average,budget,runtime,revenue,vote_count,year
5.7,0.3947256923153848,0.16835016835016836,0.10315465995109775,0.08515125072716695,0.994047619047619
6.9,0.0736671465000671,0.24915824915824913,0.035004357486242234,0.059845840605002906,0.9930555555555555
6.8,0.13156294984381292,0.21885521885521886,0.07991726193538315,0.16492146596858637,0.9975198412698412
6.6,0.026297852855184177,0.19528619528619529,0.005664302589642732,0.0036358347876672484,0.9647817460317459
5.6,0.03682436255404705,0.19528619528619529,0.02601336435763742,0.02108784176847004,0.9975198412698412
5.7,0.03419273512933133,0.17845117845117847,0.009862642459481916,0.004872018615474112,0.9965277777777777
8.2,0.0009026482066774915,0.18518518518518517,0.0003574905564961808,0.15110529377545084,0.9925595238095237
6.8,0.08419365619892999,0.23569023569023567,0.00991117433035865,0.07904304828388597,0.9950396825396824
8.1,0.08682528362364571,0.2895622895622896,0.11740065235048346,0.4192117510180337,0.992063492063492
7.4,0.10261504817194002,0.26262626262626265,0.013940698398181078,0.09191390343222804,0.9965277777777777
6.5,0.06577226422591995,0.17508417508417506,0.007458322176691177,0.047702152414194295,0.9985119047619047
5.2,0.08419365619892999,0.18181818181818182,0.03512075901118611,0.016070389761489237,0.9761904761904762
5.6,0.1578792240909701,0.19865319865319864,0.03741828693957942,0.015270506108202443,0.992063492063492
6.7,0.2105117725852845,0.23232323232323232,0.16416761379557188,0.19131762652705062,0.9950396825396824
5.4,0.16314247894040157,0.17508417508417506,0.018759464999361538,0.05111983711460151,0.9990079365079364
6.0,0.1710373612145487,0.26262626262626265,0.04799868063613471,0.03388598022105875,0.9697420634920635
6.6,0.0999834207472243,0.21885521885521886,0.0743484355477836,0.24927283304246653,0.9975198412698412
7.3,0.13156294984381292,0.2996632996632997,0.013971593370030578,0.034904013961605584,0.9945436507936507
6.4,0.03682436255404705,0.23905723905723908,0.006487481743459224,0.021160558464223385,0.9831349206349206
5.8,0.05261412710234137,0.164983164983165,0.048833920931003645,0.053083187899941826,0.994047619047619
6.7,0.09472016589779286,0.2222222222222222,0.01880269801706609,0.006980802792321116,0.9950396825396824
5.8,0.011823902019247724,0.2121212121212121,0.021108530578742797,0.029668411867364745,0.9935515873015872
5.5,0.06577226422591995,0.15151515151515155,0.014921705039729496,0.008144269924374637,0.9925595238095237
6.2,0.1420894595426758,0.2558922558922559,0.055598575414748774,0.1111111111111111,0.9955357142857142
6.5,0.026297852855184177,0.21885521885521886,0.03059463415731495,0.018106457242582898,0.9955357142857142
6.3,0.05261412710234137,0.24242424242424243,0.016367885206970578,0.018688190808609655,0.9950396825396824
6.1,0.010376506935654077,0.2895622895622896,0.0028682853987942996,0.0013816172193135544,0.9985119047619047
7.0,0.024718876400354743,0.41077441077441074,0.021519904227294606,0.010180337405468295,0.9965277777777777
5.7,0.06314063680120423,0.1447811447811448,0.00491278977037991,0.0024723676556137287,0.9846230158730158
6.3,0.3157768695739132,0.28619528619528617,0.14901113401463348,0.29472076788830714,0.9925595238095237
4.9,0.26314432107959884,0.2121212121212121,0.08941470390477814,0.07031704479348458,0.9985119047619047
6.8,0.06840389165063566,0.2121212121212121,0.015536446614177859,0.04602966841186736,0.994047619047619
6.0,0.08419365619892999,0.2053872053872054,0.015080018904290875,0.01905177428737638,0.9990079365079364
6.5,0.11840481272023433,0.1447811447811448,0.08064358610210305,0.0836242001163467,0.9955357142857142
6.6,0.028929480279899895,0.18518518518518517,0.01742085230475419,0.06282722513089005,0.992063492063492
6.7,0.3947256923153848,0.17508417508417506,0.3299311497693546,0.21727748691099474,0.9990079365079364
4.9,0.23682804683244169,0.16835016835016836,0.005317415478450553,0.0079261198371146,0.9975198412698412
6.1,0.02103459800575274,0.23569023569023567,0.02504266919182134,0.023342059336823734,0.9945436507936507
4.6,0.09472016589779286,0.18181818181818182,0.0010760427371242453,0.0010180337405468296,0.9975198412698412
7.2,0.13156294984381292,0.3367003367003367,0.030027692377704304,0.10303955788248982,0.9905753968253967
5.6,0.5263070635511706,0.393939393939394,0.27606198796219716,0.3565299592786504,0.9826388888888888
5.5,0.10524667559665574,0.24915824915824913,0.004892808147654947,0.028504944735311226,0.9890873015873015
6.2,0.13156294984381292,0.23905723905723908,0.028831084141732723,0.02297847585805701,0.9975198412698412
5.9,0.1973536354617059,0.2962962962962963,0.051075569685441705,0.06493600930773705,0.9960317460317459
5.9,0.031561107704615614,0.16835016835016836,0.013331146636671747,0.004726585223967423,0.9890873015873015
6.7,0.17893224348869588,0.27946127946127947,0.025490505320442957,0.03075916230366492,0.9811507936507936
6.5,0.05261412710234137,0.18855218855218858,0.004949287760262488,0.009089586969168121,0.9985119047619047
6.5,0.024982039142826318,0.2558922558922559,0.04002259239024418,0.03861256544502618,0.9970238095238094
6.6,0.06050900937648852,0.20202020202020204,0.1261064919980536,0.17975567190226877,0.9965277777777777
5.8,0.2105117725852845,0.30303030303030304,0.042639281439756135,0.014252472367655613,0.9910714285714285
6.7,0.14472108696739153,0.13468013468013468,0.12413242116075411,0.10594822571262362,0.9955357142857142
6.5,0.031561107704615614,0.17508417508417506,0.011737473054584658,0.006180919139034322,0.9975198412698412
5.7,0.3157768695739132,0.2053872053872054,0.08704769152254911,0.1703025014543339,0.9925595238095237
6.7,0.019192458808451735,0.20875420875420875,0.0037039306490028014,0.025305410122164047,0.9975198412698412
7.2,0.00020526693912782605,0.14141414141414144,0.011067465298807541,0.04290285049447353,0.9915674603174602
7.5,0.03287692141697347,0.19865319865319864,0.003845783742578073,0.023487492728330422,0.9826388888888888
5.4,0.0003236901732400334,0.12794612794612797,0.019607379427909417,0.022905759162303665,0.9975198412698412
6.0,0.06840389165063566,0.18855218855218858,0.03953676972908348,0.06391797556719023,0.990079365079365
7.0,0.1710373612145487,0.2558922558922559,0.15158281419711742,0.3633653286794648,0.9925595238095237
6.4,0.010771251049361436,0.3164983164983165,0.012911464767986774,0.0030541012216404886,0.9975198412698412
5.9,0.013139715731605583,0.1717171717171717,0.013727646336577781,0.06239092495636998,0.994047619047619
5.7,0.02103459800575274,0.18181818181818182,0.00241603421678499,0.012216404886561954,0.9871031746031745
6.7,0.05261412710234137,0.24915824915824913,0.06357327339766664,0.0679173938336242,0.9866071428571428
6.4,0.002613206032742709,0.16835016835016836,0.006450075204528711,0.011707388016288539,0.9970238095238094
8.0,0.008350153818622974,0.2996632996632997,0.0034580079786940923,0.07824316463059919,0.9945436507936507
6.5,0.005244833457458428,0.26262626262626265,0.0032886641923904987,0.0005817335660267597,0.9990079365079364
5.1,0.06577226422591995,0.19528619528619529,1.1008041958589892e-06,0.005308318789994182,0.994047619047619
7.6,0.24735455653130456,0.19865319865319864,0.337283036124516,0.44517161140197786,0.9960317460317459
5.7,0.12893132241909722,0.1548821548821549,0.026075203441178335,0.03177719604421175,0.9558531746031745
6.3,0.013139715731605583,0.2121212121212121,0.01579179337358464,0.07635253054101221,0.9970238095238094
7.3,0.3947256923153848,0.2053872053872054,0.4570420221155136,0.38503490401396157,0.9980158730158729
5.9,0.006823809912287858,0.16835016835016836,0.011828551778804045,0.017233856893542756,0.990079365079365
5.0,0.04708770951043836,0.1616161616161616,0.0024911758500853784,0.014979639325189063,0.9955357142857142
5.9,0.1973536354617059,0.18181818181818182,0.004875813294737385,0.01657940663176265,0.9935515873015872
6.1,0.026297852855184177,0.19865319865319864,0.00918293980744873,0.008871436881908086,0.9875992063492063
5.2,0.28946059532675605,0.24579124579124578,0.08204383091901932,0.12449098312972658,0.9970238095238094
5.8,0.3420931438210704,0.19865319865319864,0.05394734544775178,0.02712332751599767,0.9960317460317459
3.7,0.07893040134949854,0.1447811447811448,0.030360352249265088,0.026105293775450844,0.9985119047619047
5.3,0.10524667559665574,0.18855218855218858,0.04521804457449019,0.12325479930191971,0.9985119047619047
